,sentence,pos,language,switch
0,.,None,,0
1,yeah .,co .,ESP,0
2,"I was like ""/.","pro:sub cop prep +""/.",ESP ESP ESP,0
3,oh vas a coger tu pelo cortico como Connor ?,co v aprep inf det:pos n adj adv n:prop ?,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
4,"entonces él dijo ""/.","adv pro:sub v +""/.",ESP ESP ESP,0
5,no cortico no es muy chiquito para mí .,adv adj adv cop adv adj prep pro:prep .,ESP ESP ESP ESP ESP ESP ESP ESP,0
6,mal .,adv .,ESP,0
7,so he said he was getting like medium haircut .,conj pro:sub v pro:sub aux part prep n n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
8,I know it because his used to his long hair and stuff /.,pro:sub v pro conj pro:poss:det part prep pro:poss:det adj n coord n +/.,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
9,yeah .,co .,ESP,0
10,pero qué más ?,conj pro:int adv ?,ESP ESP ESP,0
11,qué estábamos hablando antes de eso ?,pro:int aux ger adv prep pro:dem ?,ESP ESP ESP ESP ESP ESP,0
12,normal no ?,adj adv ?,ESP ESP,0
13,I don't know .,pro:sub mod v .,ESP ESP ESP,0
14,.,None,,0
15,.,None,,0
16,bueno .,co .,ESP,0
17,let's see hm .,v v co .,ESP ESP ESP,0
18,mi clase de chino está super interesante .,det:pos n v adj cop n adj .,ESP ESP ESP ESP ESP ESP ESP,0
19,pero cómo así o sea .,conj pro:int adv coord cop .,ESP ESP ESP ESP ESP,0
20,oh my goodness pero es que son tantas cosas .,co L2 L2 conj L2 pro:rel cop det:indef v .,ESP ENG ENG ESP ENG ESP ESP ESP ESP,1
21,sí pues .,co co .,ESP ESP,0
22,hoy perdí la clase .,adv v det:art n .,ESP ESP ESP ESP,0
23,no fui .,adv v .,ESP ESP,0
24,porque no encontré parking .,conj adv v L2 .,ESP ESP ESP ENG,1
25,horrible .,adj .,ESP,0
26,no /.,adv +/.,ESP,0
27,no fui a la clase .,adv v aprep det:art n .,ESP ESP ESP ESP ESP,0
28,but are you remembering all this stuff .,conj aux pro part qn det n .,ESP ESP ESP ESP ESP ESP ESP,0
29,it is like a lot of characters and data .,pro cop prep det n prep n coord n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
30,memorization .,n .,ESP,0
31,es como matemáticas .,cop adv n .,ESP ESP ESP,0
32,but it's a lot .,conj pro det n .,ESP ESP ESP ESP,0
33,I hate maths too so .,pro:sub v n post adv .,ESP ESP ESP ESP ESP,0
34,es chévere .,cop adj .,ESP ESP,0
35,I wouldn't be good at Chinese .,pro:sub mod cop adj prep n:prop .,ESP ESP ESP ESP ESP ESP,0
36,I'd be better at Hebrew .,pro:sub cop adj prep n:prop .,ESP ESP ESP ESP ESP,0
37,yeah .,co .,ESP,0
38,ajá .,co .,ESP,0
39,it is like .,pro cop prep .,ESP ESP ESP,0
40,no .,adv .,ESP,0
41,don't act like you know Chinese .,mod v prep pro v n:prop .,ESP ESP ESP ESP ESP ESP,0
42,.,None,,0
43,.,None,,0
44,mira no de verdad .,co adv prep co .,ESP ESP ESP ESP,0
45,.,None,,0
46,entonces pues hoy están votando .,co co adv aux ger .,ESP ESP ESP ESP ESP,0
47,hay votaciones en el colegio .,v n prep det:art n .,ESP ESP ESP ESP ESP,0
48,estaba preguntando o sea .,aux ger coord cop .,ESP ESP ESP ESP,0
49,para qué carrizo le sirve a uno ser ...,prep pro:int n pro:ind v aprep pro:dem inf +...,ESP ESP ESP ESP ESP ESP ESP ESP,0
50,ah I'm president .,co pro:sub n .,ESP ESP ESP,0
51,for what ?,conj pro:wh ?,ESP ESP,0
52,ah para servir la universidad //.,co prep inf det:art n +//.,ESP ESP ESP ESP ESP,0
53,bueno supuestamente lo ideal sería servir a la comunidad y representar los intereses de los estudiantes .,co adv:adj pro:obj L2 cop inf aprep det:art n coord inf pro:obj v prep det:art n .,ESP ESP ESP ENG ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,1
54,a la administración de la universidad .,aprep det:art n prep det:art n .,ESP ESP ESP ESP ESP ESP,0
55,por eso lo hacen .,prep pro:dem pro:obj v .,ESP ESP ESP ESP,0
56,mm .,co .,ESP,0
57,"pero yo creo los estudiantes hacen como que ""/.","conj pro:sub v det:art n v adv pro:rel +""/.",ESP ESP ESP ESP ESP ESP ESP ESP,0
58,ah I don't care .,co pro:sub mod v .,ESP ESP ESP ESP,0
59,yeah .,co .,ESP,0
60,most students don't care about like voting and stuff .,qn n mod v adv prep n:gerund coord n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
61,but lately they've been like out there pushing it hard .,conj adv pro:sub cop prep adv adv part pro adv .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
62,like a million people wanna give you a flyer and food .,prep det det:num n v v pro det n coord n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
63,"yeah because I think most of those people are because they don't live here so is like ""/.","co conj pro:sub v qn prep det n aux conj pro:sub mod v adv adv cop prep +""/.",ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
64,I've just come here to study that's it .,pro:sub adv v adv inf v pro:dem pro .,ESP ESP ESP ESP ESP ESP ESP ESP,0
65,yeah .,co .,ESP,0
66,I don't mind .,pro:sub mod v .,ESP ESP ESP,0
67,people usually hicieron que like when I was eating lunch .,L2 L2 v pro:rel L2 L2 n:prop:L2 L2 L2 L2 .,ENG ENG ESP ESP ENG ENG ESP ENG ENG ENG,1
68,I was eating in Subway and then .,pro:sub aux part prep n:prop coord adv:tem .,ESP ESP ESP ESP ESP ESP ESP,0
69,Subway with the cup .,n:prop prep det n .,ESP ESP ESP ESP,0
70,yeah .,co .,ESP,0
71,.,None,,0
72,"I was eating food and the girl in front of me was saying like ""/.","pro:sub aux part n coord det n prep n prep pro:obj aux part prep +""/.",ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
73,oh I was at the library those people were bothering me .,co pro:sub cop prep det n det n aux part pro:obj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
74,and telling me but I don't care about that I really don't care about this place .,conj part pro:obj conj pro:sub mod v adv rel pro:sub adv mod v prep det n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
75,so like she is kind of like shows the typical attitude of like //.,adv co pro:sub aux adj prep co v det adj n prep co +//.,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
76,yeah .,co .,ESP,0
77,people not want it to go .,n neg v pro inf v .,ESP ESP ESP ESP ESP ESP,0
78,but in my case probably if I would live here I would care because they can deal with issues and stuff .,conj prep pro:poss:det n adv conj pro:sub mod v adv pro:sub mod n conj pro:sub mod v prep n coord n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
79,yeah .,co .,ESP,0
80,I think most students would be more involved if they had more time .,pro:sub v qn n mod cop adv part conj pro:sub v qn n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
81,but they have a full schedule .,conj pro:sub v det adj n .,ESP ESP ESP ESP ESP ESP,0
82,they may have a job .,pro:sub mod v det n .,ESP ESP ESP ESP ESP,0
83,and then they have to study .,conj adv:tem pro:sub v prep n .,ESP ESP ESP ESP ESP ESP,0
84,"so they're like ""/.","co pro:sub prep +""/.",ESP ESP ESP,0
85,I don't //.,pro:sub mod +//.,ESP ESP,0
86,that's wasting my time .,pro:dem n:gerund pro:poss:det n .,ESP ESP ESP ESP,0
87,they don't stop to like find out about who's president cause they're too busy .,pro:sub mod v inf v v adv prep pro:wh n n pro:sub adv adj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
88,and I understand them cause that happens to me .,conj pro:sub v pro:obj n rel v prep pro:obj .,ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
89,but I don't know if those are like doing campaign and getting people to know their ideas .,conj pro:sub mod v conj det cop co part n coord part n inf v pro:poss:det n .,ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP ESP,0
90,yeah yeah .,co co .,ESP ESP,0
